lon_min,lat_min,lon_max,lat_max,value
167.5,-47.5,170.0,-45.0,18.451652861585558
170.0,-45.0,172.5,-42.5,6.016637253200997
-75.0,-42.5,-72.5,-40.0,9.75995757588771
-72.5,-42.5,-70.0,-40.0,24.48511080493074
145.0,-42.5,147.5,-40.0,71.53816657823074
172.5,-42.5,175.0,-40.0,14.983248871347541
-75.0,-40.0,-72.5,-37.5,2.134994739937042
-72.5,-40.0,-70.0,-37.5,3.0
-62.5,-40.0,-60.0,-37.5,11.090024604228574
-60.0,-40.0,-57.5,-37.5,18.36668375670297
142.5,-40.0,145.0,-37.5,6.541692237134043
145.0,-40.0,147.5,-37.5,15.281685109180557
175.0,-40.0,177.5,-37.5,24.951801517782883
-72.5,-37.5,-70.0,-35.0,3.9900176480794016
-65.0,-37.5,-62.5,-35.0,5.263334578593685
-62.5,-37.5,-60.0,-35.0,15.199914808166795
-60.0,-37.5,-57.5,-35.0,2.025005431867271
140.0,-37.5,142.5,-35.0,6.711659989539044
142.5,-37.5,145.0,-35.0,8.598343230829073
145.0,-37.5,147.5,-35.0,41.644912768471954
147.5,-37.5,150.0,-35.0,7.075001524281902
172.5,-37.5,175.0,-35.0,5.376666108623567
-72.5,-35.0,-70.0,-32.5,84.71832966213935
-70.0,-35.0,-67.5,-32.5,9.73505124815199
-67.5,-35.0,-65.0,-32.5,4.526683928507282
-65.0,-35.0,-62.5,-32.5,4.6266761133365435
-62.5,-35.0,-60.0,-32.5,22.329967924209313
-60.0,-35.0,-57.5,-32.5,4.733337970766115
-57.5,-35.0,-55.0,-32.5,8.491681373399501
-55.0,-35.0,-52.5,-32.5,2.636658465257142
17.5,-35.0,20.0,-32.5,293.0939442705467
20.0,-35.0,22.5,-32.5,4.52999660782757
22.5,-35.0,25.0,-32.5,10.310003220368117
25.0,-35.0,27.5,-32.5,6.038315234428069
115.0,-35.0,117.5,-32.5,9.338336102875587
135.0,-35.0,137.5,-32.5,3.134994739937042
137.5,-35.0,140.0,-32.5,14.271687985940048
145.0,-35.0,147.5,-32.5,2.1316672892968427
147.5,-35.0,150.0,-32.5,23.284997788500846
150.0,-35.0,152.5,-32.5,646.8705739728733
-72.5,-32.5,-70.0,-30.0,7.661663897124413
-70.0,-32.5,-67.5,-30.0,35.8464712925329
-67.5,-32.5,-65.0,-30.0,2.1566727211641137
-65.0,-32.5,-62.5,-30.0,30.14173397402908
-62.5,-32.5,-60.0,-30.0,37.761755186085225
-60.0,-32.5,-57.5,-30.0,3.8183366182885266
-55.0,-32.5,-52.5,-30.0,9.503362231386063
-52.5,-32.5,-50.0,-30.0,2.981649469413128
25.0,-32.5,27.5,-30.0,6.56165694097524
27.5,-32.5,30.0,-30.0,113.55157548492309
115.0,-32.5,117.5,-30.0,10.168353579150676
147.5,-32.5,150.0,-30.0,2.8683327107031573
150.0,-32.5,152.5,-30.0,9.563370218361115
-72.5,-30.0,-70.0,-27.5,2.555002039694841
-67.5,-30.0,-65.0,-27.5,3.504991175960299
-65.0,-30.0,-62.5,-27.5,5.320000343608626
-60.0,-30.0,-57.5,-27.5,13.24004242411229
-57.5,-30.0,-55.0,-27.5,10.029947055761795
-55.0,-30.0,-52.5,-27.5,33.7399380818747
-52.5,-30.0,-50.0,-27.5,41.7100162736449
-50.0,-30.0,-47.5,-27.5,21.08677101018793
20.0,-30.0,22.5,-27.5,15.008397721306096
22.5,-30.0,25.0,-27.5,3.6083255827496714
25.0,-30.0,27.5,-27.5,14.206668813578744
27.5,-30.0,30.0,-27.5,68.584864762645
30.0,-30.0,32.5,-27.5,105.43327278835886
150.0,-30.0,152.5,-27.5,3.495008824039701
152.5,-30.0,155.0,-27.5,32.27350036745747
-67.5,-27.5,-65.0,-25.0,2.504991175960299
-65.0,-27.5,-62.5,-25.0,3.134994739937042
-62.5,-27.5,-60.0,-25.0,3.1033344067893722
-60.0,-27.5,-57.5,-25.0,3.7366654214063146
-57.5,-27.5,-55.0,-25.0,19.783348834500657
-55.0,-27.5,-52.5,-25.0,38.40318660961361
-52.5,-27.5,-50.0,-25.0,34.514859652429436
-50.0,-27.5,-47.5,-25.0,202.35517774544394
22.5,-27.5,25.0,-25.0,13.238343918046326
25.0,-27.5,27.5,-25.0,35.22006294895118
27.5,-27.5,30.0,-25.0,116.10378561348739
30.0,-27.5,32.5,-25.0,136.5250106699733
145.0,-27.5,147.5,-25.0,4.360014084102659
150.0,-27.5,152.5,-25.0,2.504991175960299
-57.5,-25.0,-55.0,-22.5,13.72838157555168
-55.0,-25.0,-52.5,-22.5,35.461620442186245
-52.5,-25.0,-50.0,-22.5,49.65509762376348
-50.0,-25.0,-47.5,-22.5,20.601670681469272
-47.5,-25.0,-45.0,-22.5,311.8512896002542
25.0,-25.0,27.5,-22.5,4.3733238866634565
27.5,-25.0,30.0,-22.5,83.14819066704638
30.0,-25.0,32.5,-22.5,26.978475913076295
32.5,-25.0,35.0,-22.5,4.9716671174925295
42.5,-25.0,45.0,-22.5,4.4733456141325405
45.0,-25.0,47.5,-22.5,3.3916744172503286
132.5,-25.0,135.0,-22.5,20.63321713916548
150.0,-25.0,152.5,-22.5,36.42823206033279
-65.0,-22.5,-62.5,-20.0,5.721642341459642
-57.5,-22.5,-55.0,-20.0,12.604998132109472
-52.5,-22.5,-50.0,-20.0,26.730025291445827
-50.0,-22.5,-47.5,-20.0,80.4816990214789
-47.5,-22.5,-45.0,-20.0,48.94000678434486
-45.0,-22.5,-42.5,-20.0,75.48672497818507
-42.5,-22.5,-40.0,-20.0,23.59997217540331
17.5,-22.5,20.0,-20.0,2.0033274506401995
25.0,-22.5,27.5,-20.0,4.103334406789372
27.5,-22.5,30.0,-20.0,24.604998132109472
30.0,-22.5,32.5,-20.0,11.586662372842511
42.5,-22.5,45.0,-20.0,2.1000069561491728
147.5,-22.5,150.0,-20.0,15.428276374292523
-67.5,-20.0,-65.0,-17.5,5.896665593210628
-55.0,-20.0,-52.5,-17.5,2.369996436023257
-52.5,-20.0,-50.0,-17.5,7.7433203226867136
-50.0,-20.0,-47.5,-17.5,17.341663553515787
-47.5,-20.0,-45.0,-17.5,29.175107584562625
-45.0,-20.0,-42.5,-17.5,7.771653205194184
-42.5,-20.0,-40.0,-17.5,20.25829385056761
15.0,-20.0,17.5,-17.5,2.316672892968427
27.5,-20.0,30.0,-17.5,37.96833966685233
30.0,-20.0,32.5,-17.5,28.524955879801496
32.5,-20.0,35.0,-17.5,11.508318626600499
35.0,-20.0,37.5,-17.5,4.3983293185307275
45.0,-20.0,47.5,-17.5,20.821649297608815
47.5,-20.0,50.0,-17.5,6.611653033389871
145.0,-20.0,147.5,-17.5,15.246697325392688
-72.5,-17.5,-70.0,-15.0,35.88353922759302
-70.0,-17.5,-67.5,-15.0,30.96833966685233
-62.5,-17.5,-60.0,-15.0,2.109989308069771
-57.5,-17.5,-55.0,-15.0,2.395001867890528
-55.0,-17.5,-52.5,-15.0,5.94000678434486
-52.5,-17.5,-50.0,-15.0,13.521628429161296
-50.0,-17.5,-47.5,-15.0,135.90901063747822
-47.5,-17.5,-45.0,-15.0,4.0
-45.0,-17.5,-42.5,-15.0,8.47333084281263
-42.5,-17.5,-40.0,-15.0,6.9966725493598005
-40.0,-17.5,-37.5,-15.0,5.4283607071041615
22.5,-17.5,25.0,-15.0,3.3666689853830576
25.0,-17.5,27.5,-15.0,15.17996487564551
27.5,-17.5,30.0,-15.0,18.00001477131991
30.0,-17.5,32.5,-15.0,25.91500135247759
32.5,-17.5,35.0,-15.0,61.305274576056604
35.0,-17.5,37.5,-15.0,16.951717184971244
37.5,-17.5,40.0,-15.0,12.611667804709782
45.0,-17.5,47.5,-15.0,9.056665765014941
47.5,-17.5,50.0,-15.0,3.9249984757180982
-77.5,-15.0,-75.0,-12.5,29.75995757588771
-75.0,-15.0,-72.5,-12.5,17.771653205194184
-72.5,-15.0,-70.0,-12.5,10.471716669558305
-60.0,-15.0,-57.5,-12.5,3.210011035538855
-57.5,-15.0,-55.0,-12.5,14.136594141871456
-50.0,-15.0,-47.5,-12.5,4.993345098719601
-47.5,-15.0,-45.0,-12.5,6.238329146726414
-45.0,-15.0,-42.5,-12.5,8.871674932663268
-42.5,-15.0,-40.0,-12.5,12.993345098719601
-40.0,-15.0,-37.5,-12.5,2.6266761133365435
12.5,-15.0,15.0,-12.5,6.881642513263955
15.0,-15.0,17.5,-12.5,6.573352570281713
20.0,-15.0,22.5,-12.5,2.0033274506401995
22.5,-15.0,25.0,-12.5,5.106661857429572
25.0,-15.0,27.5,-12.5,3.495008824039701
27.5,-15.0,30.0,-12.5,33.37169494208922
30.0,-15.0,32.5,-12.5,2.9783220187729285
32.5,-15.0,35.0,-12.5,220.06474710749865
37.5,-15.0,40.0,-12.5,33.771667976514095
47.5,-15.0,50.0,-12.5,9.945047512370934
-77.5,-12.5,-75.0,-10.0,4.664991347764612
-70.0,-12.5,-67.5,-10.0,13.41669462043751
-67.5,-12.5,-65.0,-10.0,5.2700042511939955
-62.5,-12.5,-60.0,-10.0,22.615050045521798
-60.0,-12.5,-57.5,-10.0,14.658321675164302
-50.0,-12.5,-47.5,-10.0,3.758343402633386
-42.5,-12.5,-40.0,-10.0,6.103334406789372
-40.0,-12.5,-37.5,-10.0,20.3283685222749
12.5,-12.5,15.0,-10.0,27.249925671901337
15.0,-12.5,17.5,-10.0,24.949989136265458
25.0,-12.5,27.5,-10.0,2.1316672892968427
27.5,-12.5,30.0,-10.0,55.39804677745599
30.0,-12.5,32.5,-10.0,5.865005260062958
32.5,-12.5,35.0,-10.0,108.71658684211366
35.0,-12.5,37.5,-10.0,4.9783220187729285
37.5,-12.5,40.0,-10.0,7.886698012609941
-80.0,-10.0,-77.5,-7.5,6.14830454249784
-77.5,-10.0,-75.0,-7.5,5.796658637061455
-65.0,-10.0,-62.5,-7.5,134.88399043429104
-50.0,-10.0,-47.5,-7.5,10.938293506958985
-42.5,-10.0,-40.0,-7.5,3.764998303913785
-40.0,-10.0,-37.5,-7.5,7.9716671174925295
-37.5,-10.0,-35.0,-7.5,43.38510384878157
12.5,-10.0,15.0,-7.5,67.11703633076854
15.0,-10.0,17.5,-7.5,3.0
25.0,-10.0,27.5,-7.5,8.14497709185764
27.5,-10.0,30.0,-7.5,13.626690884656455
30.0,-10.0,32.5,-7.5,39.47160279410684
32.5,-10.0,35.0,-7.5,81.81348980341772
35.0,-10.0,37.5,-7.5,44.0816564255623
37.5,-10.0,40.0,-7.5,4.906647945131226
112.5,-10.0,115.0,-7.5,7.088340869482522
115.0,-10.0,117.5,-7.5,236.00160369704224
117.5,-10.0,120.0,-7.5,27.17172534375061
120.0,-10.0,122.5,-7.5,34.33337970766115
125.0,-10.0,127.5,-7.5,11.888297414544354
-80.0,-7.5,-77.5,-5.0,36.94664691430535
-77.5,-7.5,-75.0,-5.0,10.278357658540358
-50.0,-7.5,-47.5,-5.0,5.7183148908194426
-47.5,-7.5,-45.0,-5.0,2.764998303913785
-45.0,-7.5,-42.5,-5.0,8.256679677313286
-42.5,-7.5,-40.0,-5.0,2.865005260062958
-40.0,-7.5,-37.5,-5.0,24.843327278835886
-37.5,-7.5,-35.0,-5.0,18.934966056318785
12.5,-7.5,15.0,-5.0,2.7616708532735856
15.0,-7.5,17.5,-5.0,6.6016706814692725
17.5,-7.5,20.0,-5.0,5.764998303913785
20.0,-7.5,22.5,-5.0,16.843327278835886
22.5,-7.5,25.0,-5.0,105.49030972236801
25.0,-7.5,27.5,-5.0,3.0
30.0,-7.5,32.5,-5.0,82.01017626507587
32.5,-7.5,35.0,-5.0,29.11654510521862
35.0,-7.5,37.5,-5.0,69.27161842444832
37.5,-7.5,40.0,-5.0,14.310003220368117
105.0,-7.5,107.5,-5.0,406.66750689892467
107.5,-7.5,110.0,-5.0,6.866703766128921
110.0,-7.5,112.5,-5.0,4.986690197439202
142.5,-7.5,145.0,-5.0,13.071674073641702
145.0,-7.5,147.5,-5.0,10.168353579150676
-80.0,-5.0,-77.5,-2.5,9.448325410945358
-62.5,-5.0,-60.0,-2.5,3.3666689853830576
-55.0,-5.0,-52.5,-2.5,9.078328974922101
-52.5,-5.0,-50.0,-2.5,2.160000171804313
-47.5,-5.0,-45.0,-2.5,4.273316930514284
-45.0,-5.0,-42.5,-2.5,6.131667289296843
-42.5,-5.0,-40.0,-2.5,28.54322207757673
-40.0,-5.0,-37.5,-2.5,266.81849565820585
12.5,-5.0,15.0,-2.5,8.213323714859143
17.5,-5.0,20.0,-2.5,23.338336102875587
20.0,-5.0,22.5,-2.5,3.4233347503979985
22.5,-5.0,25.0,-2.5,10.893338142570428
25.0,-5.0,27.5,-2.5,5.006654901280399
27.5,-5.0,30.0,-2.5,8.231674245446015
32.5,-5.0,35.0,-2.5,69.2334022941518
35.0,-5.0,37.5,-2.5,12.881657284583866
37.5,-5.0,40.0,-2.5,11.4950088240397
102.5,-5.0,105.0,-2.5,53.58341925501395
115.0,-5.0,117.5,-2.5,4.94334900630497
117.5,-5.0,120.0,-2.5,5.715016982819066
120.0,-5.0,122.5,-2.5,11.338336102875587
127.5,-5.0,130.0,-2.5,2.9183435744376993
132.5,-5.0,135.0,-2.5,3.8716601613433568
135.0,-5.0,137.5,-2.5,5.244984048006813
137.5,-5.0,140.0,-2.5,7.2066688135787444
142.5,-5.0,145.0,-2.5,5.043355962454143
-80.0,-2.5,-77.5,0.0,129.33104655795398
-50.0,-2.5,-47.5,0.0,95.36448972997925
-47.5,-2.5,-45.0,0.0,8.369996436023257
12.5,-2.5,15.0,0.0,2.1316672892968427
15.0,-2.5,17.5,0.0,6.588360878908475
17.5,-2.5,20.0,0.0,5.263334578593685
25.0,-2.5,27.5,0.0,5.849982180116285
27.5,-2.5,30.0,0.0,49.74816284244969
30.0,-2.5,32.5,0.0,62.468304886106466
32.5,-2.5,35.0,0.0,42.00309969973728
35.0,-2.5,37.5,0.0,33.819980334182674
37.5,-2.5,40.0,0.0,2.6266761133365435
100.0,-2.5,102.5,0.0,10.686669328991684
102.5,-2.5,105.0,0.0,17.97832201877293
112.5,-2.5,115.0,0.0,7.0033274506401995
115.0,-2.5,117.5,0.0,4.458307762865957
120.0,-2.5,122.5,0.0,4.156672721164114
130.0,-2.5,132.5,0.0,7.658351217804125
132.5,-2.5,135.0,0.0,4.241671368686525
135.0,-2.5,137.5,0.0,10.34670428154186
-80.0,0.0,-77.5,2.5,9.38834696661013
-77.5,0.0,-75.0,2.5,2.8716601613433568
10.0,0.0,12.5,2.5,3.7866762851408566
15.0,0.0,17.5,2.5,3.6083403540695826
22.5,0.0,25.0,2.5,15.073387351027577
27.5,0.0,30.0,2.5,2.0033274506401995
30.0,0.0,32.5,2.5,124.9516328521596
32.5,0.0,35.0,2.5,234.8864302428551
35.0,0.0,37.5,2.5,2.369996436023257
37.5,0.0,40.0,2.5,2.7366654214063146
42.5,0.0,45.0,2.5,2.504991175960299
97.5,0.0,100.0,2.5,4.743335094006625
100.0,0.0,102.5,2.5,53.9367636665163
102.5,0.0,105.0,2.5,390.6994774297905
107.5,0.0,110.0,2.5,5.70329181087277
110.0,0.0,112.5,2.5,17.898279766464952
120.0,0.0,122.5,2.5,11.624962835950669
-77.5,2.5,-75.0,5.0,60.950143030568825
-75.0,2.5,-72.5,5.0,29.264993065807744
-72.5,2.5,-70.0,5.0,3.463348490892031
7.5,2.5,10.0,5.0,65.92311223760112
10.0,2.5,12.5,5.0,138.97279006519693
15.0,2.5,17.5,5.0,4.125012388016444
17.5,2.5,20.0,5.0,16.566682897681403
22.5,2.5,25.0,5.0,10.366668985383058
25.0,2.5,27.5,5.0,4.065019172361303
27.5,2.5,30.0,5.0,7.848368006861961
30.0,2.5,32.5,5.0,45.39836933738263
32.5,2.5,35.0,5.0,7.2066688135787444
37.5,2.5,40.0,5.0,5.839999828195687
40.0,2.5,42.5,5.0,2.580007471562112
95.0,2.5,97.5,5.0,4.028347653827382
97.5,2.5,100.0,5.0,319.2276578733681
100.0,2.5,102.5,5.0,55.866733308768744
112.5,2.5,115.0,5.0,12.899993043850827
115.0,2.5,117.5,5.0,2.0033274506401995
-77.5,5.0,-75.0,7.5,3.1133167587099706
-75.0,5.0,-72.5,7.5,7.209996264218944
-10.0,5.0,-7.5,7.5,3.1633276224445126
-7.5,5.0,-5.0,7.5,61.15494467245833
-5.0,5.0,-2.5,7.5,47.910059728583064
-2.5,5.0,0.0,7.5,64.81169648832804
0.0,5.0,2.5,7.5,491.332526415708
2.5,5.0,5.0,7.5,54.5335265618387
5.0,5.0,7.5,7.5,138.65819302839293
7.5,5.0,10.0,7.5,35.358414682168245
10.0,5.0,12.5,7.5,21.648368865883526
12.5,5.0,15.0,7.5,2.865005260062958
15.0,5.0,17.5,7.5,7.009982351920598
20.0,5.0,22.5,7.5,4.836672377555487
30.0,5.0,32.5,7.5,8.051610265668955
35.0,5.0,37.5,7.5,4.376651337303656
37.5,5.0,40.0,7.5,43.43835783034467
42.5,5.0,45.0,7.5,3.8300174762750885
45.0,5.0,47.5,7.5,10.215036992245018
80.0,5.0,82.5,7.5,56.24012675692393
100.0,5.0,102.5,7.5,35.94168004287883
115.0,5.0,117.5,7.5,86.59518444581215
120.0,5.0,122.5,7.5,6.35335918282226
-85.0,7.5,-82.5,10.0,4.191660504951983
-77.5,7.5,-75.0,10.0,11.604998132109472
-75.0,7.5,-72.5,10.0,8.686669328991684
-72.5,7.5,-70.0,10.0,44.64157054651184
-70.0,7.5,-67.5,10.0,2.1283398386566432
-65.0,7.5,-62.5,10.0,4.121684937376244
-12.5,7.5,-10.0,10.0,26.38492041183838
-10.0,7.5,-7.5,10.0,12.276644381154483
-7.5,7.5,-5.0,10.0,18.868332710703157
-5.0,7.5,-2.5,10.0,2.369996436023257
-2.5,7.5,0.0,10.0,11.253352226673087
0.0,7.5,2.5,10.0,43.743434198138175
2.5,7.5,5.0,10.0,49.57183750115894
5.0,7.5,7.5,10.0,35.536710594387614
7.5,7.5,10.0,10.0,61.0468225360778
10.0,7.5,12.5,10.0,67.79817370618423
12.5,7.5,15.0,10.0,12.535037335853644
15.0,7.5,17.5,10.0,67.71851309908254
17.5,7.5,20.0,10.0,15.603383958855147
27.5,7.5,30.0,10.0,4.366668985383058
35.0,7.5,37.5,10.0,24.291667461101156
37.5,7.5,40.0,10.0,260.0151202980818
40.0,7.5,42.5,10.0,20.31337498496805
42.5,7.5,45.0,10.0,2.2633345785936854
75.0,7.5,77.5,10.0,6.518300978521097
80.0,7.5,82.5,10.0,33.376834774246845
97.5,7.5,100.0,10.0,36.02823377837592
122.5,7.5,125.0,10.0,9.331681201595188
125.0,7.5,127.5,10.0,8.986690197439202
-87.5,10.0,-85.0,12.5,4.241671368686525
-75.0,10.0,-72.5,12.5,3.974994568132729
-70.0,10.0,-67.5,12.5,4.103334406789372
-65.0,10.0,-62.5,12.5,28.408495107394515
-15.0,10.0,-12.5,12.5,16.52332693522726
-12.5,10.0,-10.0,12.5,19.161614345058638
-10.0,10.0,-7.5,12.5,30.95835731493173
-7.5,10.0,-5.0,12.5,29.52666915718737
-5.0,10.0,-2.5,12.5,34.94333423498506
-2.5,10.0,0.0,12.5,35.361543924545344
0.0,10.0,2.5,12.5,2.1283398386566432
